Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1582041600000,9830.69000000,9924.42000000,9815.90000000,9918.91000000,4682.43109600,1582045199999,46238385.76991985,45201,2374.62464800,23449758.98052740,0
1582045200000,9919.76000000,9952.00000000,9877.35000000,9946.38000000,3976.54373100,1582048799999,39427845.12926125,35598,2285.99175500,22667379.60213915,0
1582048800000,9946.71000000,10048.00000000,9946.38000000,9985.73000000,5651.98768900,1582052399999,56523067.22126200,42855,3191.60868900,31915165.27892050,0
1582052400000,9987.16000000,10048.00000000,9973.00000000,10043.49000000,2489.12911000,1582055999999,24912007.69477683,24042,1260.09230900,12614818.58070948,0
1582056000000,10043.08000000,10163.00000000,10038.23000000,10155.01000000,4806.20257800,1582059599999,48578753.93778552,44831,2818.99226000,28498573.62814937,0
1582059600000,10156.22000000,10250.00000000,10036.72000000,10134.71000000,5798.78996500,1582063199999,58870861.16940864,60496,3009.99502800,30576161.98247147,0
1582063200000,10135.93000000,10174.54000000,10067.19000000,10168.26000000,2021.55712500,1582066799999,20454555.62846537,28801,1001.40938600,10134619.17901103,0
1582066800000,10168.89000000,10206.94000000,10136.64000000,10164.71000000,2811.96550700,1582070399999,28610185.98561227,26807,1426.73687900,14518150.07658860,0
1582070400000,10164.78000000,10186.35000000,10079.25000000,10102.41000000,2237.63240800,1582073999999,22655285.96205557,24358,932.61288900,9442089.93819684,0
1582074000000,10102.75000000,10149.00000000,10101.97000000,10112.83000000,1308.79070200,1582077599999,13245189.26298332,17329,625.43955500,6329731.46915611,0
1582077600000,10112.83000000,10166.66000000,10110.00000000,10150.74000000,1411.83267600,1582081199999,14324753.61053898,17714,683.06190600,6929617.22441585,0
1582081200000,10151.05000000,10173.00000000,10125.00000000,10149.63000000,1183.92275200,1582084799999,12014272.06565340,17134,603.90873200,6128603.49894117,0
1582084800000,10150.48000000,10164.93000000,10089.24000000,10111.65000000,1828.57046800,1582088399999,18489161.75721436,21599,851.66910500,8612334.13910607,0
1582088400000,10111.75000000,10134.70000000,10085.36000000,10118.55000000,1442.69158200,1582091999999,14585918.82215760,16212,736.03845600,7442495.43625071,0
1582092000000,10118.00000000,10118.66000000,10044.68000000,10069.02000000,1758.11726400,1582095599999,17731825.93014766,20273,789.25971800,7959395.93332425,0
1582095600000,10067.99000000,10089.37000000,10027.00000000,10059.30000000,2069.84807800,1582099199999,20819863.28997959,20495,980.52116800,9862797.14786876,0
1582099200000,10059.08000000,10161.99000000,10011.06000000,10159.65000000,3262.16842900,1582102799999,32935812.60330859,31360,2067.00269400,20868879.83634247,0
1582102800000,10158.20000000,10159.53000000,10101.01000000,10112.99000000,1655.48672800,1582106399999,16768075.17939166,21012,750.02070300,7596998.67700955,0
1582106400000,10112.86000000,10144.62000000,10080.00000000,10126.09000000,1836.46256800,1582109999999,18570500.99616566,21356,741.76804300,7504180.13352320,0
1582110000000,10125.00000000,10150.00000000,10117.66000000,10148.93000000,405.96951100,1582112132286,4113135.48821602,4680,209.02409600,2117998.70609211,0
